name,level,M,W
Architecture,MA,57,48
Art & Science,MA,13,28
Bildende Kunst,Diplom,106,160
Bühnengestaltung,Diplom,11,32
CDS,BA,16,66
CDS,MA,5,18
Design: Angewandte Fotografie,Diplom,18,39
Design: Kommunikationsdesign,Diplom,22,36
Design: Mode,Diplom,23,24
Design: Narrative Medien,Diplom,13,33
Expanded Museum Studies,MA,8,47
Experimental Game Cultures,MA,23,16
Industrial Design,Diplom,70,96
Kunst- und Kulturwissenschaften,MA,10,44
Lehramt,BA,51,209
Lehramt,MA,12,54
Medienkunst: Digitale Kunst,Diplom,34,32
Medienkunst: Transmediale,Diplom,36,32
PhD (art),PhD,16,18
PhD (phil),PhD,41,96
PhD (tech),PhD,15,5
Restaurierung,Diplom,6,51
Social Design,MA,17,25
Sprachkunst,BA,23,23
Sprachkunst,MA,8,29
TransArts,BA,15,13
TransArts,MA,17,16
Transformation Studies,BA,17,45
ausserordentliche Studierende,,15,27
ecm,MA,11,39
