name,level,DACH,EU,WORLD
Architecture,MA,37,15,53
Art & Science,MA,15,10,16
Bildende Kunst,Diplom,186,26,55
Bühnengestaltung,Diplom,29,7,7
CDS,BA,45,18,19
CDS,MA,10,6,7
Design: Angewandte Fotografie,Diplom,33,6,19
Design: Kommunikationsdesign,Diplom,51,5,2
Design: Mode,Diplom,29,6,12
Design: Narrative Medien,Diplom,31,7,8
Expanded Museum Studies,MA,46,7,2
Experimental Game Cultures,MA,23,7,9
Industrial Design,Diplom,129,21,16
Kunst- und Kulturwissenschaften,MA,49,5,0
Lehramt,BA,235,13,12
Lehramt,MA,65,0,1
Medienkunst: Digitale Kunst,Diplom,34,7,25
Medienkunst: Transmediale,Diplom,47,11,10
PhD (art),PhD,11,6,17
PhD (phil),PhD,101,12,24
PhD (tech),PhD,10,4,6
Restaurierung,Diplom,51,3,3
Social Design,MA,31,3,8
Sprachkunst,BA,42,1,4
Sprachkunst,MA,37,1,0
TransArts,BA,15,3,10
TransArts,MA,16,10,7
Transformation Studies,BA,24,13,25
ausserordentliche Studierende,,23,4,15
ecm,MA,39,8,3
