name,level,exempt,partial,refund,double
Architecture,MA,54,27,13,11
Art & Science,MA,25,5,5,6
Bildende Kunst,Diplom,226,8,9,24
Bühnengestaltung,Diplom,37,1,2,3
CDS,BA,66,3,6,7
CDS,MA,17,3,3,0
Design: Angewandte Fotografie,Diplom,45,6,4,3
Design: Kommunikationsdesign,Diplom,58,0,0,0
Design: Mode,Diplom,37,2,0,8
Design: Narrative Medien,Diplom,39,1,1,5
Expanded Museum Studies,MA,54,0,0,1
Experimental Game Cultures,MA,30,5,1,3
Industrial Design,Diplom,151,8,1,6
Kunst- und Kulturwissenschaften,MA,54,0,0,0
Lehramt,BA,249,6,2,3
Lehramt,MA,65,0,1,0
Medienkunst: Digitale Kunst,Diplom,44,11,2,9
Medienkunst: Transmediale,Diplom,60,1,3,4
PhD (art),PhD,17,9,1,7
PhD (phil),PhD,114,16,3,4
PhD (tech),PhD,14,4,1,1
Restaurierung,Diplom,56,0,1,0
Social Design,MA,34,2,3,3
Sprachkunst,BA,44,2,0,1
Sprachkunst,MA,38,0,0,0
TransArts,BA,22,2,1,3
TransArts,MA,28,2,1,2
Transformation Studies,BA,40,7,7,8
ausserordentliche Studierende,,28,3,4,7
ecm,MA,47,2,0,1
